volume,chapter,title,central_thesis,necessary_premises,dependencies,novel_contribution,strongest_objection_or_review_question,structural_function,provisional_disposition,source_count,status
01-physics-of-agency,08-the-quantum-branching-universe,The Quantum Branching Universe,The QBU supplies a formal event-and-timeline structure for treating Everettian branches as the physical arena of agency.,Prior linked arguments plus chapter steps: A Graph of Events; An Ensemble of Block Universes; Pattern Identifiers; Strong and Weak Identifiers,book/01-physics-of-agency/12-the-interpretation-wars.md; book/01-physics-of-agency/10-causality-and-counterfactuals.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/11-measure-and-credence.md,Canonical book treatment of The Quantum Branching Universe: A formal map of parallel timelines.,Does the formal graph represent emergent Everettian branching without assuming uniquely countable classical worlds?,Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,09-measure-vantage-branchcone,"Measure, Vantage, Branchcone","Measure, Vantage, Branchcone develops the central proposition framed by its subtitle, “The toolkit of objective probability.”",Prior linked arguments plus chapter steps: Measure; Vantage; Branchcone; Counterfactuals Without Ghosts,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/10-causality-and-counterfactuals.md; book/02-conditionalism/11-measure-and-credence.md,"Canonical book treatment of Measure, Vantage, Branchcone: The toolkit of objective probability.","Does the argument establish “The toolkit of objective probability” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,10-causality-and-counterfactuals,Causality and Counterfactuals,"Causal influence is modeled as the change in outcome Measure under an explicit intervention and declared causal model, not inferred from ancestry or correlation alone.",Prior linked arguments plus chapter steps: The Definition; Do Ideas Move Atoms?; Probabilities for Things That Don't Happen,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/02-conditionalism/09-what-knowledge-is.md,Canonical book treatment of Causality and Counterfactuals: Cause as branch structure.,"What fixes the intervention, causal model, comparison class, and coarse-graining used to measure influence?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,11-the-observer-joins-the-branch,The Observer Joins the Branch,"The Observer Joins the Branch develops the central proposition framed by its subtitle, “Schrödinger's cat, Wigner's friend, and observation as physics.”","Prior linked arguments plus chapter steps: Superposition Is a Fact About the Whole; Weighted Branches, Located Observers; The Friend Inside the Lab; No Royal Observer",book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/16-youre-not-a-random-branch.md; book/02-conditionalism/14-probability-without-collapse.md; book/01-physics-of-agency/12-the-interpretation-wars.md,"Canonical book treatment of The Observer Joins the Branch: Schrödinger's cat, Wigner's friend, and observation as physics.","Does the argument establish “Schrödinger's cat, Wigner's friend, and observation as physics” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,12-the-interpretation-wars,The Interpretation Wars,"The QBU is the book's chosen Everettian model, supported by philosophical comparison but not uniquely derived from current quantum evidence.",Prior linked arguments plus chapter steps: Why Experiment Cannot Referee; What QBism Gets Right; Where QBism Overreaches; The Local-Realism Vindication,book/01-physics-of-agency/11-the-observer-joins-the-branch.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/07-conditional-realism.md; book/01-physics-of-agency/13-agency-in-the-emergent-multiverse.md,"Canonical book treatment of The Interpretation Wars: QBism, local realism, and what the QBU keeps.","Does the comparison accurately state QBism, Bell locality, and Raymond-Robichaud's model without treating compatibility as unique empirical vindication?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,13-agency-in-the-emergent-multiverse,Agency in the Emergent Multiverse,"Agency in the Emergent Multiverse develops the central proposition framed by its subtitle, “Where the laws meet the branches.”",Prior linked arguments plus chapter steps: Control in a Branching Model; Decoherence Underwrites Decay; No Frictionless Branches; Meaning Is Found in Measure,book/01-physics-of-agency/03-the-kybit.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/14-probability-without-collapse.md; book/05-value-and-ethics/21-measure-responsibility.md; book/01-physics-of-agency/11-the-observer-joins-the-branch.md; book/05-value-and-ethics/02-agent-binding.md; book/01-physics-of-agency/04-the-three-laws-of-agency.md; book/02-conditionalism/16-youre-not-a-random-branch.md; book/01-physics-of-agency/10-causality-and-counterfactuals.md; book/01-physics-of-agency/14-everetts-demon.md,Canonical book treatment of Agency in the Emergent Multiverse: Where the laws meet the branches.,"Does the argument establish “Where the laws meet the branches” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,14-everetts-demon,Everett's Demon,"Everett's Demon develops the central proposition framed by its subtitle, “Ontological randomness and the amplified quantum.”",Prior linked arguments plus chapter steps: Two Demons; One Distinction; The Amplifier; The Hard Case and the Easy Ones,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/13-varieties-of-uncertainty.md; book/01-physics-of-agency/15-quantum-free-will.md,Canonical book treatment of Everett's Demon: Ontological randomness and the amplified quantum.,"Does the argument establish “Ontological randomness and the amplified quantum” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,5,review
01-physics-of-agency,15-quantum-free-will,Quantum Free Will,Everett-compatible agency consists in reasons-responsive policies that causally affect conditional distributions of later outcomes without creating or globally reallocating Measure.,Prior linked arguments plus chapter steps: The Wrong Dilemma; Diffusing into the Future; Choice as a Physical Process; Agency as Conditional Difference-Making,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/02-conditionalism/16-youre-not-a-random-branch.md; book/01-physics-of-agency/13-agency-in-the-emergent-multiverse.md; book/05-value-and-ethics/21-measure-responsibility.md; book/01-physics-of-agency/16-no-trivial-choices.md; book/01-physics-of-agency/17-a-gigaplex-of-parallel-lives.md,Canonical book treatment of Quantum Free Will: Choice as conditional difference-making.,"Does policy-conditioned causal control supply the authorship compatibilism needs, or only redescribe unitary evolution?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,16-no-trivial-choices,No Trivial Choices,"No Trivial Choices develops the central proposition framed by its subtitle, “Radical contingency and the causal lattice.”",Prior linked arguments plus chapter steps: The Rubber-Band Model; Chaos Plus Branching; The Cascade; Consequence Without Control,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/01-physics-of-agency/14-everetts-demon.md; book/01-physics-of-agency/15-quantum-free-will.md; book/05-value-and-ethics/21-measure-responsibility.md,Canonical book treatment of No Trivial Choices: Radical contingency and the causal lattice.,"Does the argument establish “Radical contingency and the causal lattice” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,17-a-gigaplex-of-parallel-lives,A Gigaplex of Parallel Lives,"A Gigaplex of Parallel Lives develops the central proposition framed by its subtitle, “Identity across the branches.”","Prior linked arguments plus chapter steps: Counting Yourself; The Gigaplex; Count Is Not Measure; Quantum Immortality, Priced in Measure",book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/15-youre-not-a-random-sample.md; book/02-conditionalism/16-youre-not-a-random-branch.md; book/01-physics-of-agency/20-chaos-as-foundation.md,Canonical book treatment of A Gigaplex of Parallel Lives: Identity across the branches.,"Does the argument establish “Identity across the branches” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,18-creativity-as-virtual-evolution,Creativity as Virtual Evolution,"Creativity as Virtual Evolution develops the central proposition framed by its subtitle, “Variation, selection, and thought made persistent.”","Prior linked arguments plus chapter steps: The Engine: Variation and Selection; Where the Variation Comes From; Nested Selection, Mostly Unconscious; The Open-Endedness Objection",book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/14-everetts-demon.md; book/01-physics-of-agency/19-infinite-randomness.md,"Canonical book treatment of Creativity as Virtual Evolution: Variation, selection, and thought made persistent.","Does the argument establish “Variation, selection, and thought made persistent” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,19-infinite-randomness,Infinite Randomness,"Infinite Randomness develops the central proposition framed by its subtitle, “Boltzmann brains and the mathematics of everything.”",Prior linked arguments plus chapter steps: Consciousness as Software; Your Life Is in π; The Vulcan Number; Coherence as Physics,book/02-conditionalism/15-youre-not-a-random-sample.md; book/01-physics-of-agency/20-chaos-as-foundation.md,Canonical book treatment of Infinite Randomness: Boltzmann brains and the mathematics of everything.,"Does the argument establish “Boltzmann brains and the mathematics of everything” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,4,review
01-physics-of-agency,20-chaos-as-foundation,Chaos as Foundation,"Chaos is proposed as a maximally inclusive sequence-space representation whose promotion to physical ontology requires additional realization, interpretation, and measure assumptions.",Prior linked arguments plus chapter steps: The Chaos Reservoir; The Prior State of All Priors; The Informational Paradox; Coherence from Within,book/01-physics-of-agency/19-infinite-randomness.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/01-physics-of-agency/21-coherence-filters.md; book/01-physics-of-agency/22-constructors.md; book/01-physics-of-agency/23-life-consciousness-time.md,Canonical book treatment of Chaos as Foundation: The prior state of all priors.,"Is Chaos explanatory rather than a redescribed space of possibilities, and what fixes the measure or admissibility of its contents?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,21-coherence-filters,Coherence Filters,"Coherence Filters develops the central proposition framed by its subtitle, “Carving structure from the reservoir.”",Prior linked arguments plus chapter steps: Chaos as Random Reals; Coherence as a Filter; Filters as Explicit Programs; Semantic Filters,book/01-physics-of-agency/20-chaos-as-foundation.md; book/01-physics-of-agency/22-constructors.md; book/02-conditionalism/05-truth-machines.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md,Canonical book treatment of Coherence Filters: Carving structure from the reservoir.,"Does the argument establish “Carving structure from the reservoir” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,4,review
01-physics-of-agency,22-constructors,Constructors,"Constructors develops the central proposition framed by its subtitle, “How order becomes causal power.”",Prior linked arguments plus chapter steps: What a Constructor Is; Transformation Without Change; From Recognition to Propagation; The Constructor Theory Connection,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/23-life-consciousness-time.md; book/01-physics-of-agency/12-the-interpretation-wars.md,Canonical book treatment of Constructors: How order becomes causal power.,"Does the argument establish “How order becomes causal power” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,23-life-consciousness-time,"Life, Consciousness, and Time","Life, Consciousness, and Time develops the central proposition framed by its subtitle, “When coherence reflects itself.”",Prior linked arguments plus chapter steps: Where the Laws of Physics Sit; Life: The Self-Maintaining Constructor; Consciousness: Coherence Turned Inward; Time: How Coherence Experiences Itself,book/01-physics-of-agency/22-constructors.md; book/01-physics-of-agency/20-chaos-as-foundation.md; book/01-physics-of-agency/21-coherence-filters.md; book/02-conditionalism/08-what-beliefs-are.md; book/01-physics-of-agency/24-the-shape-of-coherence.md,"Canonical book treatment of Life, Consciousness, and Time: When coherence reflects itself.","Does the argument establish “When coherence reflects itself” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,24-the-shape-of-coherence,The Shape of Coherence,"Dynamical coherence is model-relative re-identifiability under a stated grain, identity criterion, and transformation class, related to logical, epistemic, and reflective coherence by analogy rather than one discovered cross-domain quantity.",Prior linked arguments plus chapter steps: Consistency Is Cheap; Identity Across Transformation; From Distinction to Pattern; Logic as a Special Case,book/01-physics-of-agency/20-chaos-as-foundation.md; book/01-physics-of-agency/21-coherence-filters.md; book/01-physics-of-agency/22-constructors.md; book/02-conditionalism/18-sacred-coherence.md; book/01-physics-of-agency/23-life-consciousness-time.md; book/01-physics-of-agency/25-the-tiers-of-reality.md,Canonical book treatment of The Shape of Coherence: Identity preservation across transformation.,"Can identity preservation be defined without already presupposing an observer, metric, or semantic criterion of re-identification?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,25-the-tiers-of-reality,The Tiers of Reality,"The Tiers of Reality develops the central proposition framed by its subtitle, “Why ice floats, and where the Ruliad fits.”",Prior linked arguments plus chapter steps: Three Tiers of Contingency; Anthropic Facts Live at the Root; Wolfram's Middle Floor,book/01-physics-of-agency/20-chaos-as-foundation.md; book/01-physics-of-agency/21-coherence-filters.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/02-conditionalism/15-youre-not-a-random-sample.md; book/01-physics-of-agency/22-constructors.md; book/01-physics-of-agency/26-rival-architectures.md,"Canonical book treatment of The Tiers of Reality: Why ice floats, and where the Ruliad fits.","Does the argument establish “Why ice floats, and where the Ruliad fits” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,26-rival-architectures,Rival Architectures,"Rival Architectures develops the central proposition framed by its subtitle, “Simulations, the CTMU, Gödel, and God.”",Prior linked arguments plus chapter steps: The Simulation Family; The Tautological Universe; Before the Big Bang; Gödel in the Machine,book/01-physics-of-agency/20-chaos-as-foundation.md; book/01-physics-of-agency/21-coherence-filters.md; book/01-physics-of-agency/22-constructors.md; book/02-conditionalism/04-when-statements-fail.md; book/02-conditionalism/02-all-truth-is-conditional.md,"Canonical book treatment of Rival Architectures: Simulations, the CTMU, Gödel, and God.","Does the argument establish “Simulations, the CTMU, Gödel, and God” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,4,review
01-physics-of-agency,27-the-quantum-metagame,The Quantum Metagame,"The Quantum Metagame develops the central proposition framed by its subtitle, “Persistence across branches.”","Prior linked arguments plus chapter steps: Persistence Across Branches; Measure as a Prevalence Metric; Decoherence Is the Fitness Environment; Drift, Lock, and Collapse",book/05-value-and-ethics/18-the-ultimate-metagame.md; book/01-physics-of-agency/17-a-gigaplex-of-parallel-lives.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/01-physics-of-agency/24-the-shape-of-coherence.md; book/01-physics-of-agency/02-agency-against-drift.md; book/05-value-and-ethics/19-the-viability-criterion.md; book/01-physics-of-agency/28-why-there-is-something.md,Canonical book treatment of The Quantum Metagame: Persistence across branches.,"Does the argument establish “Persistence across branches” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
